"filename","items[].additionalInfo.DNR","items[].additionalInfo.GW","items[].additionalInfo.LotSN","items[].additionalInfo.capacity","items[].amount","items[].description","items[].extendedPrice","items[].itemNumber","items[].item_code","items[].lineNumber","items[].priceUOM","items[].qtyShipped","items[].tax","items[].total_quantity","items[].transUOM","items[].unitPrice","items[].unit_price","items[].units_ordered","items[].units_shipped","items[].weightNetGross"
"20240416 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,,,,84,"XXL UP CHARGE FOR TEE SHIRTS",,,"XXL tees",,,,,,,,2.1,40,,
"20240416 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,,,,26,"3X fee for tees",,,"3X tees",,,,,,,,3.25,8,,
"20240416 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,,,,30,"4 upcharge for tee shirts",,,"4x upch tees",,,,,,,,3.75,8,,
"20240425 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,,,,1008,"District thread adult tee Heather brown with 1 color front and back sm-10 med-15 lg-30 xl-35 xxl-30",,,"dt6000",,,,,,,,8.4,120,,
"20240425 Mad Cow Screen Print - Hobbs.pdf.jpg.json",,,,,67.5,"XXL UP CHARGE FOR TEE SHIRTS",,,"XXL tees",,,,,,,,2.25,30,,
"20240502 L2 Brands - Hobbs  IN24127344 Apparel.pdf.jpg.json",,,,,612.75,"REORDER#: 1876860 - Navy TTA w/Hobbs offset",,,"TTA-001-ADJ",,,,,,,,10.75,57,,
"20240502 L2 Brands - Hobbs  IN24127344 Apparel.pdf.jpg.json",,,,,85.5,"Rear Location Embellishment",,,"17",,,,,,,,1.5,57,,
"20240502 L2 Brands - Hobbs  IN24127344 Apparel.pdf.jpg.json",,,,,17.44,"Shipping/Handling",,,"100",,,,,,,,17.44,1,,
"20240502 L2 Brands - Hobbs apparel.pdf.jpg.json",,,,,634.25,"REORDER#:1876862 - Dusty Rose TTA w/Hobbs offset",,,"TTA-2062-ADJ",,,,,59,,,10.75,,,
"20240502 L2 Brands - Hobbs apparel.pdf.jpg.json",,,,,88.5,"Rear Location Embellishment",,,"17",,,,,59,,,1.5,,,
"20240502 L2 Brands - Hobbs apparel.pdf.jpg.json",,,,,18.05,"Shipping/Handling",,,"100",,,,,1,,,18.05,,,
"20240509 L2 Brands - Hobbs IN24135501 Apparel.pdf.jpg.json",,,,,705,"REORDER#:1535274 - Melange grey/white trucker MPS w/ Hobb's",,,"MPS-2975-ADJ",,,,,,,,11.75,60,,
"20240509 L2 Brands - Hobbs IN24135501 Apparel.pdf.jpg.json",,,,,90,"Front - Printed Custom Patch",,,"34PXCP",,,,,,,,1.5,60,,
"20240509 L2 Brands - Hobbs IN24135501 Apparel.pdf.jpg.json",,,,,21.9,"Shipping/Handling",,,"100",,,,,,,,21.9,1,,
"20240517 Mad Cow Screen Print - Hobbs zip up.pdf.jpg.json",,,,,2450,"MISC. GARMENTS 3739 bella canvas zip up heather navy with 1 color front and back sm-16 med-20 lg-24 xl-24 xxl-16",,,,,,,,,,,24.5,100,,
"20240517 Mad Cow Screen Print - Hobbs zip up.pdf.jpg.json",,,,,56,"XXL UPCHARGE FOR SWEAT SHIRTS",,,,,,,,,,,3.5,16,,
"20240520 All About Graphics - Helltown Inv00003725-merch.pdf.jpg.json",,,,,1487.5,"Tee Shirts (OG Logo)",,,,,,,,,,,8.5,175,,
"20240520 All About Graphics - Helltown Inv00003725-merch.pdf.jpg.json",,,,,525,"Black Tee Shirts 2X-3X (OG Logo)",,,,,,,,,,,10.5,50,,
"20240520 All About Graphics - Helltown Inv00003725-merch.pdf.jpg.json",,,,,750,"Stickers",,,,,,,,,,,0.5,1500,,
"20240610 - L2Brands, LLC IN24169044 - Hobbs.pdf.jpg.json",,,,,734.55,"REORDER#:1982350 - Navy CADDY w/ Hobbs Brewing Co.-THE SIGNE",,,"22406178801",,,,,,,,12.45,59,,
"20240610 - L2Brands, LLC IN24169044 - Hobbs.pdf.jpg.json",,,,,0,"Paracord",,,"35K",,,,,,,,0,59,,
"20240610 - L2Brands, LLC IN24169044 - Hobbs.pdf.jpg.json",,,,,44.25,"Front - Poly Foam",,,"34",,,,,,,,0.75,59,,
"20240610 - L2Brands, LLC IN24169044 - Hobbs.pdf.jpg.json",,,,,21.54,"Shipping/Handling",,,"100",,,,,,,,21.54,1,,
"20240702 - Mad Cow Screen Print - Hobbs brewing.pdf.jpg.json",,,,,805.6,"District thread adult tee Heather charcoal same print sm-14 med-14 lg-24 xl-23 xxl-24 3x-6",,,"dt6000",,,,,,,,7.6,106,,
"20240702 - Mad Cow Screen Print - Hobbs brewing.pdf.jpg.json",,,,,54,"XXL UP CHARGE FOR TEE SHIRTS",,,"XXL tees",,,,,,,,2.25,24,,
"20240702 - Mad Cow Screen Print - Hobbs brewing.pdf.jpg.json",,,,,22.5,"3X fee for tees",,,"3X tee",,,,,,,,3.75,6,,
"20240708 - Mad Cow Screen Print - lake life - Hobbs.pdf.jpg.json",,,,,1229.6,"MISC. GARMENTS BC3413 white flec tri blend 2 color front and back sm-20 med-20 lg-22 xl-24 xxl-24 3x-6",,,"MISC. GARMENTS",,,,,116,,,10.6,,,
"20240708 - Mad Cow Screen Print - lake life - Hobbs.pdf.jpg.json",,,,,50.4,"XXL UP CHARGE FOR TEE SHIRTS",,,"XXL tees",,,,,24,,,2.1,,,
"20240708 - Mad Cow Screen Print - lake life - Hobbs.pdf.jpg.json",,,,,16.2,"3X fee for tees",,,"3X tees",,,,,6,,,2.7,,,
"20240712 - L2Brands, LLC IN24203384 - Hobbs.pdf.jpg.json",,,,,80.5,"REORDER#:2016135 - Heather riviera LA085 w/ Hobbs Tavern Log",,,"LA085-451-S",,,,,,,,11.5,7,7,
"20240712 - L2Brands, LLC IN24203384 - Hobbs.pdf.jpg.json",,,,,115,"REORDER#:2016135 - Heather riviera LA085 w/ Hobbs Tavern Log",,,"LA085-451-M",,,,,,,,11.5,10,10,
"20240712 - L2Brands, LLC IN24203384 - Hobbs.pdf.jpg.json",,,,,115,"REORDER#:2016135 - Heather riviera LA085 w/ Hobbs Tavern Log",,,"LA085-451-L",,,,,,,,11.5,10,10,
"20240712 - L2Brands, LLC IN24203384 - Hobbs.pdf.jpg.json",,,,,115,"REORDER#:2016135 - Heather riviera LA085 w/ Hobbs Tavern Log",,,"LA085-451-XL",,,,,,,,11.5,10,10,
"20240712 - L2Brands, LLC IN24203384 - Hobbs.pdf.jpg.json",,,,,24.61,"Shipping/Handling",,,"100",,,,,,,,24.61,1,1,
"20240712 - L2Brands, LLC IN24203743 - Hobbs.pdf.jpg.json",,,,,192,"REORDER#:2016141 - Washed pepper MU420 w/ Hobbs Tavern Logo",,,"MU420-850-S",,,,,,,,16,,,
"20240712 - L2Brands, LLC IN24203743 - Hobbs.pdf.jpg.json",,,,,192,"REORDER#:2016141 - Washed pepper MU420 w/ Hobbs Tavern Logo",,,"MU420-850-M",,,,,,,,16,,,
"20240712 - L2Brands, LLC IN24203743 - Hobbs.pdf.jpg.json",,,,,256,"REORDER#:2016141 - Washed pepper MU420 w/ Hobbs Tavern Logo",,,"MU420-850-L",,,,,,,,16,,,
"20240712 - L2Brands, LLC IN24203743 - Hobbs.pdf.jpg.json",,,,,384,"REORDER#:2016141 - Washed pepper MU420 w/ Hobbs Tavern Logo",,,"MU420-850-XL",,,,,,,,16,,,
"20240712 - L2Brands, LLC IN24203743 - Hobbs.pdf.jpg.json",,,,,288,"REORDER#:2016141 - Washed pepper MU420 w/ Hobbs Tavern Logo",,,"MU420-850-2XL",,,,,,,,16,,,
"20240712 - L2Brands, LLC IN24203743 - Hobbs.pdf.jpg.json",,,,,48.38,"Shipping/Handling",,,"100",,,,,,,,48.38,,,
"20240718 L2Brands, LLC IN24209423 - Hobbs.pdf.jpg.json",,,,,92,"REORDER#:2018807 - Heather Navy LA085 w/Hobbs Brewing Co-THE",,,"LA085-444-S",,,,,,,,11.5,8,,
"20240718 L2Brands, LLC IN24209423 - Hobbs.pdf.jpg.json",,,,,115,"REORDER#:2018807 - Heather Navy LA085 w/Hobbs Brewing Co-THE",,,"LA085-444-M",,,,,,,,11.5,10,,
"20240718 L2Brands, LLC IN24209423 - Hobbs.pdf.jpg.json",,,,,115,"REORDER#:2018807 - Heather Navy LA085 w/Hobbs Brewing Co-THE",,,"LA085-444-L",,,,,,,,11.5,10,,
"20240718 L2Brands, LLC IN24209423 - Hobbs.pdf.jpg.json",,,,,115,"REORDER#:2018807 - Heather Navy LA085 w/Hobbs Brewing Co-THE",,,"LA085-444-XL",,,,,,,,11.5,10,,
"20240718 L2Brands, LLC IN24209423 - Hobbs.pdf.jpg.json",,,,,24.51,"Shipping/Handling",,,"100",,,,,,,,24.51,1,,
"20240812 - L2Brands, LLC IN24236019 - Hobbs.pdf.jpg.json",,,,,160,"REORDER#:2018813 - Washed Navy MU420 w/Hobbs Brewing Co Logo",,,"MU420-491-S",,,,,,,,16,10,,
"20240812 - L2Brands, LLC IN24236019 - Hobbs.pdf.jpg.json",,,,,192,"REORDER#:2018813 - Washed Navy MU420 w/Hobbs Brewing Co Logo",,,"MU420-491-M",,,,,,,,16,12,,
"20240812 - L2Brands, LLC IN24236019 - Hobbs.pdf.jpg.json",,,,,256,"REORDER#:2018813 - Washed Navy MU420 w/Hobbs Brewing Co Logo",,,"MU420-491-L",,,,,,,,16,16,,
"20240812 - L2Brands, LLC IN24236019 - Hobbs.pdf.jpg.json",,,,,416,"REORDER#:2018813 - Washed Navy MU420 w/Hobbs Brewing Co Logo",,,"MU420-491-XL",,,,,,,,16,26,,
"20240812 - L2Brands, LLC IN24236019 - Hobbs.pdf.jpg.json",,,,,39.04,"Shipping/Handling",,,"100",,,,,,,,39.04,1,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,49,,,,"5106",,,,,,,,0.49,100,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,1040,,,,"5298",,,,,,,,0.52,2000,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,1070,,,,"5301",,,,,,,,0.53,2000,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,665,,,,"5317",,,,,,,,0.665,1000,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,922.5,,,,"5344",,,,,,,,0.615,1500,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,222,,,,"7051",,,,,,,,0.74,300,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,1095,,,,"7070",,,,,,,,0.73,1500,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,182,,,,"7572",,,,,,,,0.91,200,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,390,,,,"7735",,,,,,,,0.78,500,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,1090,,,,"7236",,,,,,,,0.545,2000,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,0,,,,"PLT-ST",,,,,,,,0,6,,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,,,,468.22,,,,"FREIGHT",,,,,,,,,1,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,49,"Rice Hulls 50#",,,"5106",,,,,,,,0.49,100,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,1040,"Brewers Malt",,,"5298",,,,,,,,0.52,2000,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,399,"Wheat Malt, White",,,"5317",,,,,,,,0.66,600,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,375,"Carapils® Malt",,,"5419",,,,,,,,0.75,500,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,238,"Goldpils® Vienna Malt",,,"6659",,,,,,,,0.59,400,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,1090,"Synergy Select Pilsen Malt",,,"7236",,,,,,,,0.54,2000,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,390,"Brewers Yellow Corn Flakes Non-GMO 50#",,,"7735",,,,,,,,0.78,500,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,0,"Standard Wood Pallet",,,"PLT-ST",,,,,,,,0,3,,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,,,,252.44,"Shipping and Handling Fees",,,"FREIGHT",,,,,,,,252.44,1,,
"20240325 - Briess Sales - Earth Rider Invoice SI022861.pdf.jpg.json",,,,,450.8,"Wheat Malt, Red",,,"5323",,,,,,,,0.575,800,,
"20240325 - Briess Sales - Earth Rider Invoice SI022861.pdf.jpg.json",,,,,917.28,"Brewers Yellow Corn Flakes Non-GMO 50#",,,"7735",,,,,,,,0.782,1200,,
"20240325 - Briess Sales - Earth Rider Invoice SI022861.pdf.jpg.json",,,,,0,"Standard Wood Pallet",,,"PLT-ST",,,,,,,,0,1,,
"20240418 Briess - Ore Dock Sales Invoice SI023741.pdf.jpg.json",,,,,365,"[""Cust Part No.: Black Malt - Briess Ingredients"",""Product code: 24400200 (500 LB)""]",,,"83000",,,,,,"Pound",,0.73,500,500,
"20240418 Briess - Ore Dock Sales Invoice SI023741.pdf.jpg.json",,,,,1440,"[""Cust Part No.: Brewers Malt"",""Product code: 24402000 (2,000 LB)""]",,,"52660",,,,,,"Pound",,0.72,2000,2000,
"20240418 Briess - Ore Dock Sales Invoice SI023741.pdf.jpg.json",,,,,1360,"[""Cust Part No.: Pils Malt Briess"",""Product code: 24401200 (2,000 LB)""]",,,"8001",,,,,,"Pound",,0.68,2000,2000,
"20240418 Briess - Ore Dock Sales Invoice SI023741.pdf.jpg.json",,,,,650,"[""Cust Part No.: Wheat Malt, White"",""Product code: 24407000 (1000 LB)""]",,,"51437",,,,,,"Pound",,0.65,1000,1000,
"20240418 Briess - Ore Dock Sales Invoice SI023741.pdf.jpg.json",,,,,136,"[""Cust Part No.: Aromatic Munich Malt 20L""]",,,"99414",,,,,,"Pound",,0.68,200,200,
"20240501 Briess - Ore Dock Sales Invoice SI024185.pdf.jpg.json",,,,,49,,,,,,,,,,,,0.49,100,,
"20240501 Briess - Ore Dock Sales Invoice SI024185.pdf.jpg.json",,,,,780,,,,,,,,,,,,0.52,1500,,
"20240501 Briess - Ore Dock Sales Invoice SI024185.pdf.jpg.json",,,,,297.5,,,,,,,,,,,,0.59,500,,
"20240501 Briess - Ore Dock Sales Invoice SI024185.pdf.jpg.json",,,,,1090,,,,,,,,,,,,0.54,2000,,
"20240501 Briess - Ore Dock Sales Invoice SI024185.pdf.jpg.json",,,,,239.09,,,,,,,,,,,,239.09,1,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"5106",,"Pound",,,,,,0.49,150,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"5298",,"Pound",,,,,,0.52,1000,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"5301",,"Pound",,,,,,0.53,2000,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"5317",,"Pound",,,,,,0.66,500,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"6659",,"Pound",,,,,,0.59,300,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"7051",,"Pound",,,,,,0.74,100,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"7236",,"Pound",,,,,,0.54,1500,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"7572",,"Pound",,,,,,0.91,200,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"7735",,"Pound",,,,,,0.78,400,,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,,,,,,,,"FREIGHT",,"Each",,,,,,301.96,1,,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json",,,,,24.5,"Rice Hulls 50# 04032024 (50 LB)",,,"5106",,,,,,"Pound",,0.49,50,,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json",,,,,332.5,"Wheat Malt, White 240424A (500 LB)",,,"5317",,,,,,"Pound",,0.665,500,,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json",,,,,307.5,"Bonlander® Munich Malt 10L 240419A (500 LB)",,,"5344",,,,,,"Pound",,0.615,500,,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json",,,,,297.5,"Goldpils® Vienna Malt 240429A (500 LB)",,,"6659",,,,,,"Pound",,0.595,500,,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json",,,,,272.5,"Synergy Select Pilsen Malt",,,"7236",,,,,,"Pound",,0.545,500,,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json",,,,,133.68,"Shipping and Handling Fees",,,"FREIGHT",,,,,,"Each",,133.68,1,,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json",,,,,0,"Standard Wood Pallet",,,"PLT-ST",,,,,,"Each",,0,1,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,1040,"Brewers Malt",,,"5298",,,,,,,,0.52,2000,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,1230.5,"Pale Ale Malt",,,"5301",,,,,,,,0.53,2300,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,864.5,"Wheat Malt, White",,,"5317",,,,,,,,0.66,1300,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,307.5,"Bonlander® Munich Malt 10L",,,"5344",,,,,,,,0.61,500,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,148,"Caramel Vienne Malt 20L",,,"7051",,,,,,,,0.74,200,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,681.25,"Synergy Select Pilsen Malt",,,"7236",,,,,,,,0.54,1250,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,351,"Brewers Yellow Corn Flakes Non-GMO 50#",,,"7735",,,,,,,,0.78,450,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,395.41,"Shipping and Handling Fees",,,"FREIGHT",,,,,,,,395.41,1,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json",,,,,0,"Standard Wood Pallet",,,"PLT-ST",,,,,,,,0,4,,
"20240605 Briess - Ore Dock Sales Invoice SI025323.pdf.jpg.json",,,,,24.5,"04032024 (50 LB)",,,"510",,,,,,,,0.49,50,,
"20240605 Briess - Ore Dock Sales Invoice SI025323.pdf.jpg.json",,,,,1090,"240405A (2,000 LB)",,,"7236",,,,,,,,0.545,2000,,
"20240605 Briess - Ore Dock Sales Invoice SI025323.pdf.jpg.json",,,,,133.68,"Shipping and Handling Fees",,,"FREIGHT",,,,,,,,133.68,1,,
"20240605 Briess - Ore Dock Sales Invoice SI025323.pdf.jpg.json",,,,,0,"Standard Wood Pallet",,,"PLT-ST",,,,,,,,0,1,,
"20240104 BSG - East Brother Ingredients.pdf.jpg.json",,,,,660,"Celite Std Super Cel-Z- 22.7 k",,,"BZZZ1462",,,,,,,,66,10,,
"20240104 BSG - East Brother Ingredients.pdf.jpg.json",,,,,0,"Nut Roll - US",,,"XZZZN001",,,,,,,,0,1,,
"20240109 - BSG - Earth Rider _INV-0700948.pdf.jpg.json",,,,,341.96,"German Perle 11 lb/5 kg","341.96","HPER0011",,,,,,4,"EA",,85.49,,,
"20240109 BSG - East Brother Malt.pdf.jpg.json",,,,,50.27,"Weyermann® Vienna 25 kg",,,"MWEY1016",,,,,,"EA",,50.27,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,268.95,"Weyermann® Carafa® Special Type 2 (dehusked) 25 kg",,,"MWEY1066",,,,,5,"EA",,53.79,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,316.8,"Simpsons Finest Golden Promise™ 25 kg",,,"MSIM1002",,,,,6,"EA",,52.8,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,54.12,"Simpsons Crystal Dark 25 kg",,,"MSIM1034",,,,,1,"EA",,54.12,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,54.12,"Simpsons Crystal Extra Dark 25 kg",,,"MSIM1035",,,,,1,"EA",,54.12,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,760.32,"MCI Irish Stout Malt 25 kg",,,"MMCI1071",,,,,16,"EA",,47.52,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,83.82,"Gambrinus Honey Malt 25 kg",,,"MGAM1051",,,,,2,"EA",,41.91,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,32,"Gypsum (Calcium Sulfate) 22.68 Kg",,,"BZZZ1311",,,,,1,"EA",,32,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,900,"Kerry Biomatex L ALDC 4 kg",,,"BZZZ1631",,,,,1,"EA",,900,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,215,"Brewers Clarex® 1 kg",,,"BZZZ1739",,,,,1,"EA",,215,,,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,,,,0,"Nut Roll - US",,,"XZZZN001",,,,,1,"EA",,0,,,
"20240117 BSG - East Brother - Oats.pdf.jpg.json",,,,,69.85,"Simpsons Golden Naked Oats® 25 kg",,,"MSIM1071",,,,,,,,69.85,1,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,1430,"Rahr North Star Pils™ 2200 lb (1000 kg) Tote",,,"MRAH2190",,,,,,,,1430,1,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,169.4,"Rahr Dextrin 25 kg",,,"MRAH1160",,,,,,,,42.35,4,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,775.5,"OiO Toasted Flaked Rice 25 kg",,,"AZZZ1308",,,,,,,,77.55,10,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,397.1,"Rahr White Wheat 25 kg",,,"MRAH1108",,,,,,,,39.71,10,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,132,"Grain Millers Flaked White Wheat 22.68 kg",,,"AZZZ1106",,,,,,,,33,4,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,48,"Rice Hulls 50 Lb",,,"BZZZ1406",,,,,,,,24,2,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,489.72,"Gambrinus Vienna 25 kg",,,"MGAM1018",,,,,,,,40.81,12,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,,,,0,"Nut Roll - US",,,"XZZZN001",,,,,,,,0,3,,
"20240215 BSG - Earth Rider _INV-0714026.pdf.jpg.json",,,,,322.74,"Weyermann® Carafa® Special Type 2 (dehusked) 25 kg",,,"MWEY1066",,,,,,,,53.79,6,,
"20240215 BSG - Earth Rider _INV-0714026.pdf.jpg.json",,,,,739.2,"Simpsons Finest Golden Promise™ 25 kg",,,"MSIM1002",,,,,,,,52.8,14,,
"20240215 BSG - Earth Rider _INV-0714026.pdf.jpg.json",,,,,380.16,"MCI Irish Stout Malt 25 kg",,,"MMCI1071",,,,,,,,47.52,8,,
"20240215 BSG - Earth Rider _INV-0714026.pdf.jpg.json",,,,,380,"Grain Millers Rolled Oats 22.68 Kg",,,"AZZZ1105",,,,,,,,38,10,,
"20240215 BSG - Earth Rider _INV-0714026.pdf.jpg.json",,,,,0,"Nut Roll - US",,,"XZZZN001",,,,,,,,0,1,,
"20240412 BSG - East Brother Invoice_INV-0735189.pdf.jpg.json",,,,,350.35,"Crisp Wheat Malt 25 kg",,,"MCRI1006",,,,,,,,50.05,7,,
"20240412 BSG - East Brother Invoice_INV-0735189.pdf.jpg.json",,,,,240,"Kerry Biomatex L ALDC 1 kg",,,"BZZZ1632",,,,,,,,240,1,,
"20240415 BSG - East Brother Invoice_INV-0735702.pdf.jpg.json",,,,,794.64,"Simpsons Finest Golden Promise™ 25 kg",,,"MSIM1002",,,,,,,,56.76,14,,
