"filename","additional_notes","bill_to.address","bill_to.city","bill_to.name","bill_to.state","bill_to.zip","company.address","company.name","company.phone","contact.email","customer_po","customer_service_email","date","date_shipped","due_date","freight_terms","invoice.branchPlant","invoice.invoiceDate","invoice.invoiceNumber","invoice.salesOrderNumberType","invoice.shipmentNumber","invoice.totalInvoice","invoice_number","order_date","page","paymentTerms.netDueDate","paymentTerms.terms","pro_number","remit_to.address","remit_to.city","remit_to.fax","remit_to.name","remit_to.phone","remit_to.state","remit_to.zip","sales_agent","shipTo.address","shipTo.customerNumber","shipTo.name","ship_to.address","ship_to.city","ship_to.name","ship_to.state","ship_to.zip","shipped_via","shipping.FOBDescription","shipping.POReleaseSalesAgentNumber","shipping.customerPONumber","shipping.shipVia","shipping_info.bill_of_lading","shipping_info.freight_terms","shipping_info.pro_number","shipping_info.shipped_via","soldTo.address","soldTo.customerNumber","soldTo.name","taxInfo.salesTax","taxInfo.taxRate","terms","totals.merchandise_total","totals.sales_tax","totals.taxable_sales","totals.total_due","website"
"20240812 - L2Brands, LLC IN24236019 - Hobbs.pdf.jpg.json",,"756 Route 16","Ossipee","Hobbs Tavern & Brewing Company LLC","NH","03864",,,,,"062724Kasey",,"8/12/2024",,"09/11/2024",,,,,,,,"IN24236019",,,,,,"{""street"":""300 Fame Ave"",""city"":""Hanover"",""state"":""PA"",""postal_code"":""17331""}",,,"L2 Brands, LLC",,,,"622",,,,"765 NH Route 16","Ossipee","Hobbs Brewing Co","NH","03864",,,,,,,,,"FEDEX Ground",,,,,,"N30",1063.04,0,,1063.04,
"20240301 Briess - Ore Dock Sales Invoice SI022067.pdf.jpg.json",,"{""street"":""114 W SPRING ST."",""city"":""MARQUETTE"",""state"":""MI"",""postal_code"":""49855"",""country"":""USA""}",,"ORE DOCK BREWING COMPANY, LLC",,,,,,,"1332",,"2024-03-01",,"2024-03-31",,,,,,,,"SI022067",,,,,,,,,,,,,"Mike Illig",,,,"{""street"":""114 W SPRING ST."",""city"":""MARQUETTE"",""state"":""MI"",""postal_code"":""49855"",""country"":""USA""}",,"ORE DOCK BREWING COMPANY, LLC",,,,,,,,,,,"Tax-Air",,,,,,"N30",7193.72,,,7193.72,
"20240318 Briess - Ore Dock Sales Invoice SI022585.pdf.jpg.json",,"114 W SPRING ST, MARQUETTE, MI 49855, USA","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855","114 W SPRING ST, MARQUETTE, MI 49855, USA","ORE DOCK BREWING COMPANY, LLC",,,"1337",,"March 18, 2024",,"April 17, 2024",,,,,,,,"SI022585",,,,,,"114 W SPRING ST, MARQUETTE, MI 49855, USA",,,"ORE DOCK BREWING COMPANY, LLC",,,,"Mike Illig",,,,"114 W SPRING ST, MARQUETTE, MI 49855, USA","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,,,,,"Tax-Air",,,,,,"N30",3833.44,0,,3833.44,
"20240325 - Briess Sales - Earth Rider Invoice SI022861.pdf.jpg.json",,"1617 N 3RD ST, SUPERIOR, WI 54880, USA",,"EARTH RIDER BREWING LLC",,,,,,,"1396",,"2024-03-25",,"2024-03-25",,,,,,,,"SI022861",,,,,,"{""street"":""PO Box 88679"",""city"":""Milwaukee"",""state"":""WI"",""postal_code"":""53288-8679""}",,"(920) 849-4277","Briess Industries","(920) 849-7711",,,"Mike Illig",,,,"1617 N 3RD ST, SUPERIOR, WI 54880, USA",,"EARTH RIDER BREWING CO",,,,,,,,,"I-Tec Distribution Center",,"Customer Arranged Truck",,,,,,"PP02",,,,,
"20240418 Briess - Ore Dock Sales Invoice SI023741.pdf.jpg.json",,"{""street"":""114 W. Spring St."",""city"":""Marquette"",""state"":""MI"",""postal_code"":""49855"",""country"":""USA""}",,"Ore Dock Brewing Company, LLC",,,,,,,"1543",,"April 11, 2024",,"May 11, 2024",,,"April 11, 2024","1012741",,,"3,500.00",,,,,,,"{""street"":""PO Box 229"",""city"":""Chilton"",""state"":""WI"",""postal_code"":""53014-0229""}",,"(920) 849-4277","Briess Industries","(920) 849-7711",,,"Mitch Bluff",,,,"{""street"":""114 W. Spring St."",""city"":""Marquette"",""state"":""MI"",""postal_code"":""49855"",""country"":""USA""}",,"Ore Dock Brewing Company, LLC",,,,,,,,,"F.O.B. Destination Chilton",,"Trans-All",,,,,,"1% 10",,"0.00",,3500,
"20240501 Briess - Ore Dock Sales Invoice SI024185.pdf.jpg.json","Finance charge of 1.5% per month will be applied to any past due balances.","114 W SPRING ST","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,"1347",,"2024-05-01",,"2024-05-31",,,,,,,,"SI024185","2024-05-01",,,,,"114 W SPRING ST","MARQUETTE",,"ORE DOCK BREWING COMPANY, LLC",,"MI","49855","Mike Illig",,,,"114 W SPRING ST","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,,,,,"Tax-Air",,,,,,"N30",,,,2455.59,
"20240508 Briess - Ore Dock Sales Invoice SI024421.pdf.jpg.json",,"114 W SPRING ST","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,"1348",,"May 8, 2024",,"June 7, 2024",,,,,,,,"SI024421",,,,,,"114 W SPRING ST","MARQUETTE",,"ORE DOCK BREWING COMPANY, LLC",,"MI",,"Mike Illig",,,,"114 W SPRING ST","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,,,,,,,,,,,"N30",3859.96,,,3861.96,
"20240514 Briess - Ore Dock Sales Invoice SI024608.pdf.jpg.json","Finance charge of 1.5% per month will be applied to any past due balances.","114 W SPRING ST","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,,,"May 14, 2024",,"June 13, 2024",,,,,,,,"SI024608",,,,,,,,,,,,,,,,,"114 W SPRING ST","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,,,"N30",,,,,,,,,1368.18,0,,1368.18,
"20240520 Briess - Ore Dock Sales Invoice SI024792.pdf.jpg.json",,,,,,,"Milwaukee, WI 53288-8679","Briess Industries","(920) 849-7711",,,,,,,,,"2024-05-20","SI024792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20240529 Briess - Ore Dock Sales Invoice SI025077.pdf.jpg.json","Finance charge of 1.5% per month will be applied to any past due balances.","114 W SPRING ST, MARQUETTE, MI 49855, USA",,"ORE DOCK BREWING COMPANY, LLC",,,,,,,"1354",,"May 29, 2024",,"June 28, 2024",,,,,,,,"SI025077",,,,,,"114 W SPRING ST, MARQUETTE, MI 49855, USA",,,"ORE DOCK BREWING COMPANY, LLC",,,,"Mike Illig",,,,"114 W SPRING ST, MARQUETTE, MI 49855, USA",,"ORE DOCK BREWING COMPANY, LLC",,,,,,,,,,,"Tax-Air",,,,,,"N30",5018.16,,,5018.16,
"20240605 Briess - Ore Dock Sales Invoice SI025323.pdf.jpg.json",,"114 W SPRING ST","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855",,,,,"1356",,"June 5, 2024",,"July 5, 2024",,,,,,,,"SI025323",,,,,,,,,,,,,"Mike Illig",,,,"114 W SPRING ST.","MARQUETTE","ORE DOCK BREWING COMPANY, LLC","MI","49855","Tax-Air, Prepaid",,,,,,,,,,,,,,"N30",,,,1248.18,
"20240605 Briess - Ore Docks Sales Invoice SI025322.pdf.jpg.json",,,,,,,,,,,,,,,,,,"June 5, 2024","SI025322","SO126524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20240610 Briess - Ore Dock Sales Invoice SI025435.pdf.jpg.json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20240104 BSG - East Brother Ingredients.pdf.jpg.json","If you wish to receive your invoices electronically, please call 1-800-374-2739 or send an e-mail to accountsreceivable@bsgcraft.com with your customer number and e-mail address. All past due amounts are subject to a 1.5% finance charge. Thank you for being a valued customer of BSG!","72 Valley Cir
Robert Lightner
Mill Valley, CA 94941
USA",,"East Brother Beer Co",,,,,,,"SO160-0892905",,"1/4/2024",,"2/3/2024",,,,,,,,"INV-0698640",,,,,,"PO Box 74769
Chicago, IL 60694-4769
USA",,,"BSG",,,,,,,,"1001 Canal Blvd
Richmond, CA 94804-3533
USA",,"East Brother Beer Co",,,,,,,,,,,,,,,,,"Net 30 Days",660,64.35,,736.85,
"20240109 - BSG - Earth Rider _INV-0700948.pdf.jpg.json","[""Thank you for being a valued customer of BSG!"",""If you wish to receive your invoices electronically, please call 1-800-374-2739 or send an e-mail to accountsreceivable@bsgcraft.com with your customer number and e-mail address.""]","{""street"":""PO Box 3167"",""city"":""Duluth"",""state"":""MN"",""zip"":""55803"",""country"":""USA""}",,"Earth Rider Brewing",,,,,,,,,,,"2/8/2024",,,"1/9/2024","0700948","SO160-0897591","SHP160-0733551","378.77","INV-0700948","1/9/2024",,,,,"{""street"":""PO Box 74769"",""city"":""Chicago"",""state"":""IL"",""zip"":""60694-4769"",""country"":""USA""}",,,"Brewers Supply Group",,,,,,,,"{""street"":""1617 N 3rd St"",""city"":""Superior"",""state"":""WI"",""zip"":""54880-1016"",""country"":""USA""}",,"Earth Rider Brewing",,,,,,,,,"36.81","494134711046912",,,,,,,,341.96,,0,378.77,
"20240109 BSG - East Brother Malt.pdf.jpg.json","If you wish to receive your invoices electronically, please call 1-800-374-2739 or send an e-mail to accountsreceivable@bsgcraft.com with your customer number and e-mail address.","{""street"":""72 Valley Cir, Robert Lightner"",""city"":""Mill Valley"",""state"":""CA"",""postal_code"":""94941"",""country"":""USA""}",,"East Brother Beer Co",,,,,,,"SO160-0897774",,"1/9/2024",,"2/8/2024",,,,,,,,"INV-0701026",,,,,,"{""street"":""PO Box 74769"",""city"":""Chicago"",""state"":""IL"",""postal_code"":""60694-4769"",""country"":""USA""}",,,"BSG",,,,,,,,"{""street"":""1001 Canal Blvd"",""city"":""Richmond"",""state"":""CA"",""postal_code"":""94804-3533"",""country"":""USA""}",,"East Brother Beer Co",,,,,,,,,,,,,,,,,"Net 30 Days",50.27,0,,50.27,
"20240111 - BSG - Earth Rider _INV-0701654.pdf.jpg.json",,"PO Box 3167, Julia Convissor, Duluth, MN, 55803, USA","Duluth","Earth Rider Brewing","MN","55803","PO Box 74769, Chicago, IL, 60694-4769, USA","Brewers Supply Group",,,"PO# 1368 - Frank",,"1/11/2024",,"2/10/2024","Freight included in the Total",,,,"SO160-0897572",,,"INV-0701654",,,,,"110870646",,,,,,,,,,,,"107 N 3rd St, Superior, WI, 54880-1016, USA","Superior","Earth Rider Brewing","WI","54880-1016","N & M Transfer Co., Inc / N&M Transfer",,,,,,,"110870646",,,,,,,"Net 30 Days",2685.13,0,,2872.63,
"20240117 BSG - East Brother - Oats.pdf.jpg.json","All past due amounts are subject to a 1.5% finance charge","{""line_1"":""72 Valley Cir"",""line_2"":""Robert Lightner"",""city"":""Mill Valley"",""state"":""CA"",""zip"":""94941"",""country"":""USA""}",,"East Brother Beer Co",,,,,,,"SO160-0902115",,"1/17/2024","1/16/2024","2/16/2024",,,,,,,,"INV-0703577",,"1 of 2",,,,"PO Box 74769","Chicago",,"BSG",,"IL","60694-4769",,,,,"{""line_1"":""1001 Canal Blvd"",""city"":""Richmond"",""state"":""CA"",""zip"":""94804-3533"",""country"":""USA""}",,"East Brother Beer Co",,,,,,,,,,,,,,,,,"Net 30 Days",,,,,
"20240205 BSG - La Quinta - Ingredients.pdf.jpg.json",,"50855 Washington St Ste C220, La Quinta, CA, 92253, USA",,"La Quinta Brewing Co",,,,,,,,,"2/5/2024",,"3/6/2024",,,,,,,,"INV-0710041",,,,,,"PO Box 74769, Chicago, IL 60694-4769, USA",,,"Brewers Supply Group",,,,,,,,"74714 Technology Dr, Palm Desert, CA, 92211-5803, USA",,"La Quinta Brewing Company LLC",,,,,,,,,,"594139968","R&L Carriers, Inc - R&L",,,,,,"Net 30 Days",3441.72,3.72,,3745.44,
"20240215 BSG - Earth Rider _INV-0714026.pdf.jpg.json",,"PO Box 3167, Julia Convissor, Duluth, MN 55803, USA",,"Earth Rider Brewing",,,,,,,"PO# 1377 - Frank",,"2/15/2024",,"3/16/2024",,,,,,,,"INV-0714026",,,,,,,,,,,,,,,,,"1617 N 3rd St, Superior, WI 54880-1016, USA",,"Earth Rider Brewing",,,,,,,,,,"110870689",,,,,,,"Net 30 Days",1822.1,0,,2009.6,
"20240412 BSG - East Brother Invoice_INV-0735189.pdf.jpg.json",,"72 Valley Cir, Mill Valley, CA 94941, USA",,"East Brother Beer Co",,,,,,,"SO160-0958154",,"4/12/2024",,"5/12/2024",,,,,,,,"INV-0735189",,,,,,,,,,,,,,,,,"1001 Canal Blvd, Richmond, CA 94804-3533, USA",,"East Brother Beer Co",,,,,,,,,,"",,,,,,,"Net 30 Days",590.35,0,,590.35,
"20240415 BSG - East Brother Invoice_INV-0735702.pdf.jpg.json","All past due amounts are subject to a 1.5% finance charge","72 Valley Cir","Mill Valley","East Brother Beer Co","CA","94941",,,,,"SO160-0961660",,"4/15/2024",,"5/15/2024",,,,,,,,"INV-0735702","4/12/2024",,,,,"PO Box 74769","Chicago",,"BSG",,"IL","60694-4769",,,,,"1001 Canal Blvd","Richmond","East Brother Beer Co","CA","94804-3533",,,,,,,,,,,,,,,"Net 30 Days",,0,,,
"20240430 BSG - East Brother Invoice_INV-0740789.pdf.jpg.json",,"72 Valley Cir, Mill Valley, CA 94941, USA",,"East Brother Beer Co",,,,,,,,,"4/30/2024",,,,,,,,,,"INV-0740789",,,,,,"72 Valley Cir, Mill Valley, CA 94941, USA",,,"East Brother Beer Co",,,,,,,,"1001 Canal Blvd, Richmond, CA 94804-3533, USA",,"East Brother Beer Co",,,,,,,,,"Customer Pick Up",,"Customer Pick Up",,,"Chris Lobsinger",,,"Net 30 Days",1883.64,32.18,,1915.82,
"20240522 BSG - Helltown Customer Invoice_INV-0749303-bsg.pdf.jpg.json",,"5578 Old William Penn Hwy","Export","Helltown Brewing LLC","PA","15632-9303",,,,,"Shawn - hops",,"5/22/2024",,"5/22/2024",,,,,,,,"INV-0749303","5/21/2024",,,,"9224186053","{""street"":""PO Box 74769"",""city"":""Chicago"",""state"":""IL"",""postal_code"":""60694-4769"",""country"":""USA""}",,,,,,,,,,,"5578 Old William Penn Hwy","Export","Helltown Brewing","PA","15632-9303","FedEx Freight Priority",,,,,,,,,,,,,,"Net Zero Days PREPD",,0,,,
"20240523 BSG - Hobbs INV-0749955.pdf.jpg.json","If you wish to receive your invoices electronically, please call 1-800-374-2739 or send an e-mail to accountsreceivable@bsgcraft.com with your customer number and e-mail address.","PO Box 539, West Ossipee, NH 03890, USA",,"Hobbs Tavern & Brewing Co",,,"PO Box 74769, Chicago, IL 60694-4769, USA","Brewers Supply Group",,,,,"5/23/2024",,"6/22/2024",,,,,"SO160-0991453",,,"INV-0749955",,,,"Net 30 Days",,,,,,,,,,,,,"765 Route 16, Ossipee, NH 03864-7167, USA",,"Hobbs Tavern & Brewing Co",,,,,,,,,,,,,,,,,,,0,,,
"20240531 BSG - Hobbs _INV-0752454.pdf.jpg.json",,"{""street"":""PO Box 539"",""city"":""West Ossipee"",""state"":""NH"",""postal_code"":""03890"",""country"":""USA""}",,"Hobbs Tavern & Brewing Co",,,,,,,,,"5/31/2024",,"Net 30 Days",,,,,,,,"INV-0752454",,,,,,,,,,,,,,,,,"{""line1"":""Hobbs Production"",""line2"":""765 Route 16"",""city"":""Ossipee"",""state"":""NH"",""postal_code"":""03864-7167"",""country"":""USA""}",,"Hobbs Tavern & Brewing Co",,,,,,,,,,"319506112",,,,,,,,1832.48,0,,1997.48,
"20240731 - BSG - Customer Invoice_INV-0774515 - Hobbs.pdf.jpg.json",,"{""street"":""PO Box 539, Rob Finneron"",""city"":""West Ossipee"",""state"":""NH"",""postal_code"":""03890"",""country"":""USA""}",,"Hobbs Tavern & Brewing Co",,,,,,,"23156-Mike",,"7/31/2024",,,"Parcel",,,,,,,"INV-0774515","7/31/2024",,"7/31/2024","Net 30 Days","277682290290","{""street"":""PO Box 539, Rob Finneron"",""city"":""West Ossipee"",""state"":""NH"",""postal_code"":""03890"",""country"":""USA""}",,,"Hobbs Tavern & Brewing Co",,,,,,,,"{""street"":""Hobbs Production, 765 Route 16"",""city"":""Ossipee"",""state"":""NH"",""postal_code"":""03864-7167"",""country"":""USA""}",,"Hobbs Tavern & Brewing Co",,,"Parcel",,,,,,,,,,,,,,"Net 30 Days",186.89,0,,210.8,
"20240403 Belmark - Helltown.pdf.jpg.json","*Freight will be added to final invoice","5578 Old William Penn Hwy, Export PA 15632",,"Shawn Gentry",,,,,,,"EMAIL_SG040224",,"04/03/24",,"04/03/24",,,,,,,,"29716D",,,,,,,,,,,,,"Kyle Santy - 17",,,,"5578 Old William Penn Hwy, Export PA 15632",,"Shawn Gentry",,,,,,,,,,,"Belmark",,,,,,"CASH IN ADVANCE",,,,7516.56,
"20240430 Sterling - Barrio 12 pk can carriers.pdf.jpg.json",,"{""street"":""800 E. 16th St."",""city"":""Tucson"",""state"":""AZ"",""postal_code"":""85719"",""country"":""USA""}",,"Barrio Brewing Company",,,,,,,,,"30/08/2024",,"30/09/2024",,,,,,,,"3398",,,,,,"{""street"":""200 E Nashville Ave"",""city"":""Atmore"",""state"":""AL"",""postal_code"":""36502""}",,,"Sterling Packaging","251-443-6100",,,,,,,"{""street"":""800 E. 16th St."",""city"":""Tucson"",""state"":""AZ"",""postal_code"":""85719"",""country"":""USA""}",,"Barrio Brewing Company",,,,,,,,,,,,,,,,,"Net 30",,,,,"www.sterlingpkg.com"
"20240604 Belmark - Helltown invoices20240604-15pack.pdf.jpg.json",,,,,,,,,,,"EMAIL_SG060424",,,,"06/04/24",,,,,,,,"29967D",,,,,,"PO BOX 8814 CAROL STREAM IL 60197-8814",,,,,,,"KYLE SANTY - 17",,,,"5578 OLD WILLIAM PENN HWY EXPORT PA 15632",,"SHAWN GENTRY",,,"BELMARK",,,,,,,,,,,,,,"CASH IN ADVANCE",,,,"8988.84",
"20240628 Vessel - Wild State.pdf.jpg.json",,"500 S 29th Ave W, Duluth MN 55806, United States",,"Wild State Cider",,,,,,,"2740",,"28-Jun-2024",,"01-Aug-2024","Total One Logistics",,,,,,,"INV21792",,,,,,"8250 Borden Street, Vancouver BC V5P 3E7","Vancouver",,"Vessel Packaging Inc.",,"BC","V5P 3E7","Brandon Erickson",,,,"2515 W Superior St, Duluth MN 55806, United States",,"Wild State Cider (USD)",,,,,,,,,,,,,,,,,"Net 30",21511.04,,,22346.33,
