"field","type","description"
"Invoice.BillTo.ContactPerson","string","The field ""Invoice.BillTo.ContactPerson"" in the invoice JSON structure represents the name of the contact person associated with the billing address. It is a string type, meaning it contains a sequence of characters (such as letters, numbers, and symbols) that represents the name of the contact person. This field is typically used to provide the name of the individual or department that should be contacted regarding billing-related matters."
"Invoice.BillTo.Email","string","The field Invoice.BillTo.Email represents the email address of the entity or individual to whom the invoice is billed. It is a string type, which means it contains a sequence of characters, typically in an email format (e.g., example@email.com). This field is used to store the email address of the billing recipient for communication and contact purposes related to the invoice."
"Invoice.BillTo.Address","string","The ""Invoice.BillTo.Address"" field in the invoice JSON structure contains the physical address of the entity or individual to whom the invoice is being billed. It is represented as a string data type, typically including details such as street address, city, state, postal code, and country. This field provides the necessary information for the recipient to accurately receive and process the invoice."
"Invoice.BillTo.City","string","The field ""Invoice.BillTo.City"" in the invoice JSON structure is a string type that represents the city of the billing address for the invoice. This field would typically store the name of the city where the customer or entity being billed is located."
"Invoice.BillTo.State","string","The field ""Invoice.BillTo.State"" in the invoice JSON structure represents the state of the billing address. It is a string type, which typically contains the abbreviation or full name of the state where the billing address is located. This field is used to specify the state for billing purposes, such as calculating taxes or complying with regional billing regulations."
"Invoice.BillTo.ZipCode","string","The field ""Invoice.BillTo.ZipCode"" in the invoice JSON structure represents the zip code of the billing address. It is of type string, indicating that it should contain a series of alphanumeric characters that correspond to the specific postal code of the billing address."
"Invoice.ShipTo","object","The ""Invoice.ShipTo"" field in the invoice JSON structure is an object type that represents the shipping information for the invoice. It likely contains subfields such as ""name"", ""address"", ""city"", ""state"", ""postal code"", and ""country"" to specify the details of the recipient's shipping address. This object provides a structured way to store and retrieve the shipping information associated with the invoice."
"Invoice.ShipTo.Name","string","The ""Invoice.ShipTo.Name"" field in the invoice JSON structure represents the name of the entity or individual to whom the invoice is being shipped. This field is of type string, meaning it contains a sequence of characters (letters, numbers, symbols) that represent the name of the recipient. It is typically used to store the name of the recipient's company or individual name for shipping purposes."
"Invoice.ShipTo.ContactPerson","string","The ""Invoice.ShipTo.ContactPerson"" field in an invoice JSON structure represents the name of the contact person associated with the shipping address of the invoice. It is a string type, indicating that it should contain the name of the individual who can be contacted regarding the shipment or delivery of the invoice items to the specified shipping address."
"Invoice.ShipTo.Address","string","The ""Invoice.ShipTo.Address"" field in the invoice JSON structure represents the shipping address of the recipient. It is a string type field that typically contains the complete address details, including street address, city, state/province, postal code, and country. This field is used to specify where the invoice should be shipped to."
"Invoice.ShipTo.City","string","The ""Invoice.ShipTo.City"" field in the invoice JSON structure represents the city to which the invoice is being shipped. It is a string type, which means it contains alphanumeric characters and is typically used to store the name of the city where the recipient of the invoice is located."
"Invoice.ShipTo.State","string","The ""Invoice.ShipTo.State"" field in an invoice JSON structure represents the state to which the invoice is being shipped. It is a string type, typically containing the abbreviated or full name of the state, such as ""CA"" for California or ""New York"" for the state of New York. This field is used to specify the destination state for the invoice shipment."
"Invoice.ShipTo.ZipCode","string","The ""Invoice.ShipTo.ZipCode"" field in the invoice JSON structure represents the zip code of the shipping address for the invoice. It is a string type, indicating the postal code or ZIP code of the location where the invoice is being shipped to."
"Invoice.PONumber","string","The ""Invoice.PONumber"" field in the invoice JSON structure represents the purchase order number associated with the invoice. It is a string type, meaning it contains alphanumeric characters and possibly special symbols. This field is used to uniquely identify the purchase order related to the invoice and can be used for tracking and reference purposes."
"Invoice.Terms","string","The ""Invoice.Terms"" field in the invoice JSON structure represents the payment terms associated with the invoice. This field typically contains a string value that specifies the agreed-upon terms for payment, such as the due date, any applicable discounts for early payment, late payment penalties, and other relevant payment conditions. The value of this field could be something like ""Net 30 days"", ""2% 10 Net 30"", ""Due on receipt"", or any other specific terms agreed upon between the seller and the buyer."
"Invoice.ShipDate","string","The ""Invoice.ShipDate"" field in the invoice JSON structure represents the date on which the invoice is scheduled to be shipped. It is of type string, meaning it should contain a date in a specific format, such as ""YYYY-MM-DD"". This field provides important information about the expected shipping date for the invoice."
"Invoice.ShipVia","string","The ""Invoice.ShipVia"" field in the JSON structure represents the shipping method or carrier used to deliver the invoice items. It is a string type, which means it can contain alphanumeric characters and symbols to indicate the specific shipping service or company responsible for transporting the goods associated with the invoice."
"Invoice.TotalAmount","string","The ""Invoice.TotalAmount"" field in the invoice JSON structure represents the total amount of the invoice in string format. This field typically contains the total monetary value of the goods or services being billed on the invoice. It is important to note that although the type is specified as a string, it is common practice to store monetary values as numbers with appropriate precision to avoid potential issues with arithmetic operations and calculations."
"Invoice.PaymentInfo","string","The ""Invoice.PaymentInfo"" field in an invoice JSON structure is a string type that typically contains information related to the payment details for the invoice. This could include details such as the payment method used (e.g., credit card, bank transfer), payment terms, payment due date, or any other relevant payment information associated with the invoice."
"Invoice.Items","array","The ""Invoice.Items"" field in the invoice JSON structure is an array type that contains a list of items included in the invoice. Each item within the array may include details such as the description of the item, quantity, price, and any additional information related to the specific item being billed on the invoice. This array allows for the inclusion of multiple line items within the invoice, providing a detailed breakdown of the products or services being billed."
